response,context,context_2,context_3,context_4,context_5,context_6,context_7
"At the bottom right of Visual Studio Code, there is a language mode. By default, it will say ""Plain Text"". Click on it and select the HTML Language Mode. I had the same problem, but that fixed it for me. Also, if that doesn't work, try downloading some popular extensions for HTML. (I found my extensions on a guide for starting HTML in Visual Studio Code)","I ran into the same issue, the issue was my file was saved as a .txt file originally. So to fix the issue I just saved it again but this time in the save window I just selected the option to save it as a .HTML. That fixed my issues and I was able to get it to auto-complete after that. ",I had this same issue at first and Ngan is correct.  Once you label the file as a .html then the predictive keywords will work for html.  This is unlike normal VS where you selected the coding language from a dropdown menu at the start of your project.,"If you go to the 'Explorer' section in Visual Studio Code, you'll see a section that says ""New File."" You'll click that and type in the whatever you want to call the file and then type .html (so for example: example.html). It should automatically return </html> after that! I attached a screenshot","Other people have talked about this, but Visual Studio Code has all the same functionality as Atom. The professor even recommends that we use Visual Studio if we aren't already familiar with Atom. You should be able to do the homework correctly.","Are you using Visual Studio or Visual Studio Code? The names are super confusing but you want Visual Studio Code, it's much better (imo). If you are using VS Code, you don't need to hit enter, when you type the > to close the first tag, the closing tag should pop up. Regardless, even if it doesn't autofill you can just type the closing tag and it'll work the same, it's just a bit annoying.","Whenever I try to follow along with lecture video, my Visual Studio acts different (I know its not same as atom).  For example, when I type <html> and click enter, it does not return the automatic </html>. Not sure if I would be doing the homework wrong.",
"I ran into the same issue, the issue was my file was saved as a .txt file originally. So to fix the issue I just saved it again but this time in the save window I just selected the option to save it as a .HTML. That fixed my issues and I was able to get it to auto-complete after that. ",I had this same issue at first and Ngan is correct.  Once you label the file as a .html then the predictive keywords will work for html.  This is unlike normal VS where you selected the coding language from a dropdown menu at the start of your project.,"If you go to the 'Explorer' section in Visual Studio Code, you'll see a section that says ""New File."" You'll click that and type in the whatever you want to call the file and then type .html (so for example: example.html). It should automatically return </html> after that! I attached a screenshot","Other people have talked about this, but Visual Studio Code has all the same functionality as Atom. The professor even recommends that we use Visual Studio if we aren't already familiar with Atom. You should be able to do the homework correctly.","Are you using Visual Studio or Visual Studio Code? The names are super confusing but you want Visual Studio Code, it's much better (imo). If you are using VS Code, you don't need to hit enter, when you type the > to close the first tag, the closing tag should pop up. Regardless, even if it doesn't autofill you can just type the closing tag and it'll work the same, it's just a bit annoying.","Whenever I try to follow along with lecture video, my Visual Studio acts different (I know its not same as atom).  For example, when I type <html> and click enter, it does not return the automatic </html>. Not sure if I would be doing the homework wrong.",,
I had this same issue at first and Ngan is correct.  Once you label the file as a .html then the predictive keywords will work for html.  This is unlike normal VS where you selected the coding language from a dropdown menu at the start of your project.,"If you go to the 'Explorer' section in Visual Studio Code, you'll see a section that says ""New File."" You'll click that and type in the whatever you want to call the file and then type .html (so for example: example.html). It should automatically return </html> after that! I attached a screenshot","Other people have talked about this, but Visual Studio Code has all the same functionality as Atom. The professor even recommends that we use Visual Studio if we aren't already familiar with Atom. You should be able to do the homework correctly.","Are you using Visual Studio or Visual Studio Code? The names are super confusing but you want Visual Studio Code, it's much better (imo). If you are using VS Code, you don't need to hit enter, when you type the > to close the first tag, the closing tag should pop up. Regardless, even if it doesn't autofill you can just type the closing tag and it'll work the same, it's just a bit annoying.","Whenever I try to follow along with lecture video, my Visual Studio acts different (I know its not same as atom).  For example, when I type <html> and click enter, it does not return the automatic </html>. Not sure if I would be doing the homework wrong.",,,
"If you go to the 'Explorer' section in Visual Studio Code, you'll see a section that says ""New File."" You'll click that and type in the whatever you want to call the file and then type .html (so for example: example.html). It should automatically return </html> after that! I attached a screenshot","Other people have talked about this, but Visual Studio Code has all the same functionality as Atom. The professor even recommends that we use Visual Studio if we aren't already familiar with Atom. You should be able to do the homework correctly.","Are you using Visual Studio or Visual Studio Code? The names are super confusing but you want Visual Studio Code, it's much better (imo). If you are using VS Code, you don't need to hit enter, when you type the > to close the first tag, the closing tag should pop up. Regardless, even if it doesn't autofill you can just type the closing tag and it'll work the same, it's just a bit annoying.","Whenever I try to follow along with lecture video, my Visual Studio acts different (I know its not same as atom).  For example, when I type <html> and click enter, it does not return the automatic </html>. Not sure if I would be doing the homework wrong.",,,,
"Other people have talked about this, but Visual Studio Code has all the same functionality as Atom. The professor even recommends that we use Visual Studio if we aren't already familiar with Atom. You should be able to do the homework correctly.","Are you using Visual Studio or Visual Studio Code? The names are super confusing but you want Visual Studio Code, it's much better (imo). If you are using VS Code, you don't need to hit enter, when you type the > to close the first tag, the closing tag should pop up. Regardless, even if it doesn't autofill you can just type the closing tag and it'll work the same, it's just a bit annoying.","Whenever I try to follow along with lecture video, my Visual Studio acts different (I know its not same as atom).  For example, when I type <html> and click enter, it does not return the automatic </html>. Not sure if I would be doing the homework wrong.",,,,,
"Are you using Visual Studio or Visual Studio Code? The names are super confusing but you want Visual Studio Code, it's much better (imo). If you are using VS Code, you don't need to hit enter, when you type the > to close the first tag, the closing tag should pop up. Regardless, even if it doesn't autofill you can just type the closing tag and it'll work the same, it's just a bit annoying.","Whenever I try to follow along with lecture video, my Visual Studio acts different (I know its not same as atom).  For example, when I type <html> and click enter, it does not return the automatic </html>. Not sure if I would be doing the homework wrong.",,,,,,
Mr. Wang said we could use whatever we are comfortable with. I would just make sure that the functionality isn't too different and that the professor/TA understand the software.,I believe the professor said we can use any text editor you are familiar with; as long as you can follow what he is doing you should be fine.,Can we use WebStorm instead of VS Code? Or is there some functionality that is unique to VS Code that we will need for this class?,,,,,
I believe the professor said we can use any text editor you are familiar with; as long as you can follow what he is doing you should be fine.,Can we use WebStorm instead of VS Code? Or is there some functionality that is unique to VS Code that we will need for this class?,,,,,,
Yes I did just like Sumyta did. I'd suggest to link them both ways so you can navigate from the Home page to the Menu och vice versa. ,Thank you Chris! This was very helpful!,"Yes, that should  work. At least, it worked for me. Just remember to link the home page in your menu page as it is stated in the homework. ",So would I just make another file in the Homework1 folder that I created?,They are two different pages (each with a separate .html file). I just linked the Home and Menu pages together so it's easier to get to each page. ,I created two different files in the same folder,"Each webpage is a single .html file, so you should have a Home.html and a Menu.html. You can connect the two by using hyperlinks (&lt;a&gt; tags) so the user can go back and forth between them.",Is the menu page in the same file as the home page or are we supposed to make a new one?  
Thank you Chris! This was very helpful!,"Yes, that should  work. At least, it worked for me. Just remember to link the home page in your menu page as it is stated in the homework. ",So would I just make another file in the Homework1 folder that I created?,They are two different pages (each with a separate .html file). I just linked the Home and Menu pages together so it's easier to get to each page. ,I created two different files in the same folder,"Each webpage is a single .html file, so you should have a Home.html and a Menu.html. You can connect the two by using hyperlinks (&lt;a&gt; tags) so the user can go back and forth between them.",Is the menu page in the same file as the home page or are we supposed to make a new one?  ,
"Yes, that should  work. At least, it worked for me. Just remember to link the home page in your menu page as it is stated in the homework. ",So would I just make another file in the Homework1 folder that I created?,They are two different pages (each with a separate .html file). I just linked the Home and Menu pages together so it's easier to get to each page. ,I created two different files in the same folder,"Each webpage is a single .html file, so you should have a Home.html and a Menu.html. You can connect the two by using hyperlinks (&lt;a&gt; tags) so the user can go back and forth between them.",Is the menu page in the same file as the home page or are we supposed to make a new one?  ,,
So would I just make another file in the Homework1 folder that I created?,They are two different pages (each with a separate .html file). I just linked the Home and Menu pages together so it's easier to get to each page. ,I created two different files in the same folder,"Each webpage is a single .html file, so you should have a Home.html and a Menu.html. You can connect the two by using hyperlinks (&lt;a&gt; tags) so the user can go back and forth between them.",Is the menu page in the same file as the home page or are we supposed to make a new one?  ,,,
They are two different pages (each with a separate .html file). I just linked the Home and Menu pages together so it's easier to get to each page. ,I created two different files in the same folder,"Each webpage is a single .html file, so you should have a Home.html and a Menu.html. You can connect the two by using hyperlinks (&lt;a&gt; tags) so the user can go back and forth between them.",Is the menu page in the same file as the home page or are we supposed to make a new one?  ,,,,
I created two different files in the same folder,"Each webpage is a single .html file, so you should have a Home.html and a Menu.html. You can connect the two by using hyperlinks (&lt;a&gt; tags) so the user can go back and forth between them.",Is the menu page in the same file as the home page or are we supposed to make a new one?  ,,,,,
"Each webpage is a single .html file, so you should have a Home.html and a Menu.html. You can connect the two by using hyperlinks (&lt;a&gt; tags) so the user can go back and forth between them.",Is the menu page in the same file as the home page or are we supposed to make a new one?  ,,,,,,
I chose a picture of downtown Blacksburg with the a hyperlink to the link Dr Wang provided us.,"I am sorry for the typo. I meant to say a restaurant picture in the place of ""VT picture"". I have made the correction in the homework text. ",I don't think the VT image has to relate to the restaurant we chose. Hopefully it just reminds viewers that the restaurant is in Blacksburg! ,"The instructions were unclear to me too, but I just linked the VT image to the vt.edu website and had a separate hyperlink to the restaurant's site. ",Shouldn't the link for the VT image be a link that is associated with the restaurant we chose? ,,,
"I am sorry for the typo. I meant to say a restaurant picture in the place of ""VT picture"". I have made the correction in the homework text. ",I don't think the VT image has to relate to the restaurant we chose. Hopefully it just reminds viewers that the restaurant is in Blacksburg! ,"The instructions were unclear to me too, but I just linked the VT image to the vt.edu website and had a separate hyperlink to the restaurant's site. ",Shouldn't the link for the VT image be a link that is associated with the restaurant we chose? ,,,,
I don't think the VT image has to relate to the restaurant we chose. Hopefully it just reminds viewers that the restaurant is in Blacksburg! ,"The instructions were unclear to me too, but I just linked the VT image to the vt.edu website and had a separate hyperlink to the restaurant's site. ",Shouldn't the link for the VT image be a link that is associated with the restaurant we chose? ,,,,,
"The instructions were unclear to me too, but I just linked the VT image to the vt.edu website and had a separate hyperlink to the restaurant's site. ",Shouldn't the link for the VT image be a link that is associated with the restaurant we chose? ,,,,,,
"The Unordered List should be placed at the top of your page with a hyperlink attached to each item in your list (like a navigation window), I hope this helps!","Hey Shireen,",Are the two internal hyperlinks supposed to be placed in between the unordered list on the same line as the list items or should that be at the end of the page?,,,,,
"Hey Shireen,",Are the two internal hyperlinks supposed to be placed in between the unordered list on the same line as the list items or should that be at the end of the page?,,,,,,
"Yes, if you use the <a> tag followed by an href you can link the file you have open in atom directly.","Yes, you must link the ""Home"" page to the Menu page. I think you can do it the other way around as well if you would like. To do this, use the <a> tag and href and link the html file directly.","That's what I had to do, links on both pages to each other",Are we supposed to link the home page to the menu page? ,,,,
"Yes, you must link the ""Home"" page to the Menu page. I think you can do it the other way around as well if you would like. To do this, use the <a> tag and href and link the html file directly.","That's what I had to do, links on both pages to each other",Are we supposed to link the home page to the menu page? ,,,,,
"That's what I had to do, links on both pages to each other",Are we supposed to link the home page to the menu page? ,,,,,,
" Yes, I included a link to go to the menu page from the home page and also a link to get back to the home page from the menu page although I believe the homework just requires the latter. ",Do we need to include a link on the home page that goes to the menu page?,,,,,,
"I just made a correction on that. You should use a picture for your selected restaurant, not a VT picture. ",I think the picture on the home page can just be any picture of Tech.,Should the picture we include be a picture of the restaurant on the home page?,,,,,
I think the picture on the home page can just be any picture of Tech.,Should the picture we include be a picture of the restaurant on the home page?,,,,,,
I believe you need to include the pictures in the folder for them to show up.,"So when I downloaded my submitted file, I opened up every single of the pictures itself then I opened up my HTML docs again and all the pictures ended up working for me! ","Were you ever able to figure this out? I myself am stuck on this too. It shows up properly on my computer but once I send the folder into the compressor the pictures do not show up properly on the zipped file. Everything is in that same folder, my html docs and all the pictures.","No they should show up just like they were before you zipped it. Make sure that both your html pages and all your pictures are in one folder and zip that enclosing folder. When you unzip to test make sure that you open the html file that came from the unzipped version, not the original version. ",When I submit the document and unzip it on another computer the pictures no longer show up on the page.   Is this normal?,,,
"So when I downloaded my submitted file, I opened up every single of the pictures itself then I opened up my HTML docs again and all the pictures ended up working for me! ","Were you ever able to figure this out? I myself am stuck on this too. It shows up properly on my computer but once I send the folder into the compressor the pictures do not show up properly on the zipped file. Everything is in that same folder, my html docs and all the pictures.","No they should show up just like they were before you zipped it. Make sure that both your html pages and all your pictures are in one folder and zip that enclosing folder. When you unzip to test make sure that you open the html file that came from the unzipped version, not the original version. ",When I submit the document and unzip it on another computer the pictures no longer show up on the page.   Is this normal?,,,,
"Were you ever able to figure this out? I myself am stuck on this too. It shows up properly on my computer but once I send the folder into the compressor the pictures do not show up properly on the zipped file. Everything is in that same folder, my html docs and all the pictures.","No they should show up just like they were before you zipped it. Make sure that both your html pages and all your pictures are in one folder and zip that enclosing folder. When you unzip to test make sure that you open the html file that came from the unzipped version, not the original version. ",When I submit the document and unzip it on another computer the pictures no longer show up on the page.   Is this normal?,,,,,
"No they should show up just like they were before you zipped it. Make sure that both your html pages and all your pictures are in one folder and zip that enclosing folder. When you unzip to test make sure that you open the html file that came from the unzipped version, not the original version. ",When I submit the document and unzip it on another computer the pictures no longer show up on the page.   Is this normal?,,,,,,
"This is the format I chose, I also put it in a <footer> tag after the body. We will learn that this is the standard practice as we continue throughout the semester.",I wrote:,"I would definitely include the © logo and the phrase ""All rights reserved"". Through Googling, I found another phrase you could add: ""This work is the intellectual property of the author.""","Usually it's just ""© YYYY OrganizationName"" with ""All rights reserved"" optionally at the end",What type of copyright statement are we supposed to write? Not really sure what the wording of that would look like.,,,
I wrote:,"I would definitely include the © logo and the phrase ""All rights reserved"". Through Googling, I found another phrase you could add: ""This work is the intellectual property of the author.""","Usually it's just ""© YYYY OrganizationName"" with ""All rights reserved"" optionally at the end",What type of copyright statement are we supposed to write? Not really sure what the wording of that would look like.,,,,
"I would definitely include the © logo and the phrase ""All rights reserved"". Through Googling, I found another phrase you could add: ""This work is the intellectual property of the author.""","Usually it's just ""© YYYY OrganizationName"" with ""All rights reserved"" optionally at the end",What type of copyright statement are we supposed to write? Not really sure what the wording of that would look like.,,,,,
"Usually it's just ""© YYYY OrganizationName"" with ""All rights reserved"" optionally at the end",What type of copyright statement are we supposed to write? Not really sure what the wording of that would look like.,,,,,,
"The preview window is convenient, but not trustworthy because it is not a real browser. You must test all your pages in a full-scale browser such as Chrome, Safari, or Firefox. ","To get a preview window in Visual Studio Code, just look up any HTML preview package in the extensions tab and install it. You should be able to use the listed shortcut keys afterwards to pull up the preview. ",So I did the assignment in Atom but I'm also trying to learn Visual Studio Code. I was able to get the preview window in Atom but how do I pull up a preview window in Visual Studio Code?,,,,,
"To get a preview window in Visual Studio Code, just look up any HTML preview package in the extensions tab and install it. You should be able to use the listed shortcut keys afterwards to pull up the preview. ",So I did the assignment in Atom but I'm also trying to learn Visual Studio Code. I was able to get the preview window in Atom but how do I pull up a preview window in Visual Studio Code?,,,,,,
I had that problem too. I uninstalled it and reinstalled it to make sure it wasn't bugging. I also had to save it as a html file in order for the colors to appear other than white. ,I didn't change any settings besides the theme/personal settings. Definitely second what Mujid said about saving it as an .html file. It is pretty cool that Visual Studio recognizes the extension and will auto-fill some features.,"Good Call Mujid, this is a mistake I'm sure many students make in the beginning. Always best to save as an .html file immediately to take full advantage of the auto-completion features Visual Studio Code offers which ultimately saves you time",I ran into the exact same issue and as Mujid said saving the file with the .html extension solved the problem for me.,Are you sure that you've saved your code as an HTML document? If you didn't save it that way then that could be the reason why it isn't opening as a web page.,"Did anyone set up their Visual Studio code editor a certain way before using it? For some reason, when I type my code, everything is in the color white, and when I try to run it through my file, it doesn't open up a web page, rather it opens up a notepad application instead.",,
I didn't change any settings besides the theme/personal settings. Definitely second what Mujid said about saving it as an .html file. It is pretty cool that Visual Studio recognizes the extension and will auto-fill some features.,"Good Call Mujid, this is a mistake I'm sure many students make in the beginning. Always best to save as an .html file immediately to take full advantage of the auto-completion features Visual Studio Code offers which ultimately saves you time",I ran into the exact same issue and as Mujid said saving the file with the .html extension solved the problem for me.,Are you sure that you've saved your code as an HTML document? If you didn't save it that way then that could be the reason why it isn't opening as a web page.,"Did anyone set up their Visual Studio code editor a certain way before using it? For some reason, when I type my code, everything is in the color white, and when I try to run it through my file, it doesn't open up a web page, rather it opens up a notepad application instead.",,,
"Good Call Mujid, this is a mistake I'm sure many students make in the beginning. Always best to save as an .html file immediately to take full advantage of the auto-completion features Visual Studio Code offers which ultimately saves you time",I ran into the exact same issue and as Mujid said saving the file with the .html extension solved the problem for me.,Are you sure that you've saved your code as an HTML document? If you didn't save it that way then that could be the reason why it isn't opening as a web page.,"Did anyone set up their Visual Studio code editor a certain way before using it? For some reason, when I type my code, everything is in the color white, and when I try to run it through my file, it doesn't open up a web page, rather it opens up a notepad application instead.",,,,
I ran into the exact same issue and as Mujid said saving the file with the .html extension solved the problem for me.,Are you sure that you've saved your code as an HTML document? If you didn't save it that way then that could be the reason why it isn't opening as a web page.,"Did anyone set up their Visual Studio code editor a certain way before using it? For some reason, when I type my code, everything is in the color white, and when I try to run it through my file, it doesn't open up a web page, rather it opens up a notepad application instead.",,,,,
Are you sure that you've saved your code as an HTML document? If you didn't save it that way then that could be the reason why it isn't opening as a web page.,"Did anyone set up their Visual Studio code editor a certain way before using it? For some reason, when I type my code, everything is in the color white, and when I try to run it through my file, it doesn't open up a web page, rather it opens up a notepad application instead.",,,,,,
"Eric, I also had this issue with the preview extension in VS.",Always test your html pages in a real browser. The preview addin/extension is very limited.,"My VS Code preview showed the same thing so I worried I did something wrong, but the image shows up fine when I click on the file to view it in my web browser.","I have the same issue, I just open the html file in my browser to preview images. I couldn't get it working is VS.","Does anyone's HTML preview say ""some content has been disabled in the document"" when you try and link an image?",,,
Always test your html pages in a real browser. The preview addin/extension is very limited.,"My VS Code preview showed the same thing so I worried I did something wrong, but the image shows up fine when I click on the file to view it in my web browser.","I have the same issue, I just open the html file in my browser to preview images. I couldn't get it working is VS.","Does anyone's HTML preview say ""some content has been disabled in the document"" when you try and link an image?",,,,
"My VS Code preview showed the same thing so I worried I did something wrong, but the image shows up fine when I click on the file to view it in my web browser.","I have the same issue, I just open the html file in my browser to preview images. I couldn't get it working is VS.","Does anyone's HTML preview say ""some content has been disabled in the document"" when you try and link an image?",,,,,
"I have the same issue, I just open the html file in my browser to preview images. I couldn't get it working is VS.","Does anyone's HTML preview say ""some content has been disabled in the document"" when you try and link an image?",,,,,,
"if you have the extension ""HTML Preview"" it's CTRL + Shift + V or CTRL + k  v for side preview.",How can you preview the html page from visual studio code? I tried using the Ctrl+shift+M command since that's what I used for atom but it isn't working,,,,,,
I also downloaded an extension called Live Server that lets me view the code side by side with a live version of the html. It's really helpful especially if you save your code automatically since it updates constantly. ,"I only downloaded the HTML11 extension which allows you to have a live preview of the web-page. I searched for ""html"" in the extensions tab so that I could find it.","There was a list of packages to install on atom in the video, but has anyone figured out which extensions specifically are best for visual studio?  (for example it said in the lecture to get the atom-html-preview package but that obviously wouldn't be what you'd search for VS)",,,,,
"I only downloaded the HTML11 extension which allows you to have a live preview of the web-page. I searched for ""html"" in the extensions tab so that I could find it.","There was a list of packages to install on atom in the video, but has anyone figured out which extensions specifically are best for visual studio?  (for example it said in the lecture to get the atom-html-preview package but that obviously wouldn't be what you'd search for VS)",,,,,,
"The best way to test that the id hyperlinks work is to click them in a live version of your web page. You may need to obscure the destination if you are already able to see the content that you have linked to, either by resizing the window to restrict your view or increasing the size of the webpage using the magnification tool in your browser.",I loaded the webpage and made sure I zoomed in closer to the page and clicked the link to see if it would move me to the heading. If I view the page at full screen it seems not to change when I click the hyperlink (I'm assuming because its just a one page website).,"Do you mean when you link to a heading with an ID? If you're getting an invalid page then you should check if your url is correct. When linking to a heading with an id on the same page, the url should be the same url as the current page, with #your-id at the end, or just #your-id. You can see the effect of this in your address bar when you click if the window isn't large enough to scroll.",How can we test if we set up the 2 hyperlinks to the h2 headings correctly? (In the lecture video when the professor showed us how to do it the links just took us to an invalid page),,,,
I loaded the webpage and made sure I zoomed in closer to the page and clicked the link to see if it would move me to the heading. If I view the page at full screen it seems not to change when I click the hyperlink (I'm assuming because its just a one page website).,"Do you mean when you link to a heading with an ID? If you're getting an invalid page then you should check if your url is correct. When linking to a heading with an id on the same page, the url should be the same url as the current page, with #your-id at the end, or just #your-id. You can see the effect of this in your address bar when you click if the window isn't large enough to scroll.",How can we test if we set up the 2 hyperlinks to the h2 headings correctly? (In the lecture video when the professor showed us how to do it the links just took us to an invalid page),,,,,
"Do you mean when you link to a heading with an ID? If you're getting an invalid page then you should check if your url is correct. When linking to a heading with an id on the same page, the url should be the same url as the current page, with #your-id at the end, or just #your-id. You can see the effect of this in your address bar when you click if the window isn't large enough to scroll.",How can we test if we set up the 2 hyperlinks to the h2 headings correctly? (In the lecture video when the professor showed us how to do it the links just took us to an invalid page),,,,,,
Thanks Chris! This was a quick easy way to make my website look better,Thank you so much for the tip! Is it better to use style or use an actual css file?,"Thanks for the tip, Chris! I've been wanting to alter the styling of some elements but wasn't sure how to do that without an external CSS file.","If anyone is interested in changing the way things look (like a single paragraph or heading) without using a CSS file, you can do it with the style attribute. It's a good quick fix for when you want something specific to look a certain way. Just specify the style you want to change and the value you will set it to (this is CSS syntax in your HTML file).",,,,
Thank you so much for the tip! Is it better to use style or use an actual css file?,"Thanks for the tip, Chris! I've been wanting to alter the styling of some elements but wasn't sure how to do that without an external CSS file.","If anyone is interested in changing the way things look (like a single paragraph or heading) without using a CSS file, you can do it with the style attribute. It's a good quick fix for when you want something specific to look a certain way. Just specify the style you want to change and the value you will set it to (this is CSS syntax in your HTML file).",,,,,
"Thanks for the tip, Chris! I've been wanting to alter the styling of some elements but wasn't sure how to do that without an external CSS file.","If anyone is interested in changing the way things look (like a single paragraph or heading) without using a CSS file, you can do it with the style attribute. It's a good quick fix for when you want something specific to look a certain way. Just specify the style you want to change and the value you will set it to (this is CSS syntax in your HTML file).",,,,,,
It does not need a closing tag since it is a break between words so it just has to go between the words you can break.,"Thank you for using <br> as an example - you answered my question! I was wondering the same thing as Seren, but for <br> tag. I like the <br> without a closing tag better in some cases, but wasn't hesitant that might be incorrect.",It operates similarly to <br>,"I thought the same thing too initially.  I looked at examples online and when I actually utilized it in my code,  it actually makes a difference vs when I didn't do it. ",It does not need a closing </wbr> tag; it simply tells the browser where to break if the page is resized.,It doesnt need a closing tag since it's a void element (like &lt;br&gt;)<br/>https://riptutorial.com/html/example/4736/void-elements<br/>More on wbr:<br/>https://www.w3schools.com/tags/tag_wbr.asp<br/>,"For the <wbr> tag, is it not supposed to have another tag followed by a backslash e.g</wbr>? ",
"Thank you for using <br> as an example - you answered my question! I was wondering the same thing as Seren, but for <br> tag. I like the <br> without a closing tag better in some cases, but wasn't hesitant that might be incorrect.",It operates similarly to <br>,"I thought the same thing too initially.  I looked at examples online and when I actually utilized it in my code,  it actually makes a difference vs when I didn't do it. ",It does not need a closing </wbr> tag; it simply tells the browser where to break if the page is resized.,It doesnt need a closing tag since it's a void element (like &lt;br&gt;)<br/>https://riptutorial.com/html/example/4736/void-elements<br/>More on wbr:<br/>https://www.w3schools.com/tags/tag_wbr.asp<br/>,"For the <wbr> tag, is it not supposed to have another tag followed by a backslash e.g</wbr>? ",,
It operates similarly to <br>,"I thought the same thing too initially.  I looked at examples online and when I actually utilized it in my code,  it actually makes a difference vs when I didn't do it. ",It does not need a closing </wbr> tag; it simply tells the browser where to break if the page is resized.,It doesnt need a closing tag since it's a void element (like &lt;br&gt;)<br/>https://riptutorial.com/html/example/4736/void-elements<br/>More on wbr:<br/>https://www.w3schools.com/tags/tag_wbr.asp<br/>,"For the <wbr> tag, is it not supposed to have another tag followed by a backslash e.g</wbr>? ",,,
"I thought the same thing too initially.  I looked at examples online and when I actually utilized it in my code,  it actually makes a difference vs when I didn't do it. ",It does not need a closing </wbr> tag; it simply tells the browser where to break if the page is resized.,It doesnt need a closing tag since it's a void element (like &lt;br&gt;)<br/>https://riptutorial.com/html/example/4736/void-elements<br/>More on wbr:<br/>https://www.w3schools.com/tags/tag_wbr.asp<br/>,"For the <wbr> tag, is it not supposed to have another tag followed by a backslash e.g</wbr>? ",,,,
It does not need a closing </wbr> tag; it simply tells the browser where to break if the page is resized.,It doesnt need a closing tag since it's a void element (like &lt;br&gt;)<br/>https://riptutorial.com/html/example/4736/void-elements<br/>More on wbr:<br/>https://www.w3schools.com/tags/tag_wbr.asp<br/>,"For the <wbr> tag, is it not supposed to have another tag followed by a backslash e.g</wbr>? ",,,,,
It doesnt need a closing tag since it's a void element (like &lt;br&gt;)<br/>https://riptutorial.com/html/example/4736/void-elements<br/>More on wbr:<br/>https://www.w3schools.com/tags/tag_wbr.asp<br/>,"For the <wbr> tag, is it not supposed to have another tag followed by a backslash e.g</wbr>? ",,,,,,
"Yeah I think that works, as long as they are stock photos you should be fine!",I think they should work!  They're free stock photos and that's also where I got mine from.,"That sounds like it works! I think anything on the first page when you google ""royalty free images"" should work. I used pixabay.com and it was very useful because it doesn't have watermarks like stock photos tend to have.",Yes! They're free stock photos so I think they're perfect for this assignment.,"I think that should be fine since they are stock photos.  I used pictures from https://www.jing.fm/
 (Links to an external site.)",Would pictures from pexels be appropriate for this assignment?,,
I think they should work!  They're free stock photos and that's also where I got mine from.,"That sounds like it works! I think anything on the first page when you google ""royalty free images"" should work. I used pixabay.com and it was very useful because it doesn't have watermarks like stock photos tend to have.",Yes! They're free stock photos so I think they're perfect for this assignment.,"I think that should be fine since they are stock photos.  I used pictures from https://www.jing.fm/
 (Links to an external site.)",Would pictures from pexels be appropriate for this assignment?,,,
"That sounds like it works! I think anything on the first page when you google ""royalty free images"" should work. I used pixabay.com and it was very useful because it doesn't have watermarks like stock photos tend to have.",Yes! They're free stock photos so I think they're perfect for this assignment.,"I think that should be fine since they are stock photos.  I used pictures from https://www.jing.fm/
 (Links to an external site.)",Would pictures from pexels be appropriate for this assignment?,,,,
Yes! They're free stock photos so I think they're perfect for this assignment.,"I think that should be fine since they are stock photos.  I used pictures from https://www.jing.fm/
 (Links to an external site.)",Would pictures from pexels be appropriate for this assignment?,,,,,
"I think that should be fine since they are stock photos.  I used pictures from https://www.jing.fm/
 (Links to an external site.)",Would pictures from pexels be appropriate for this assignment?,,,,,,
"Yes, you can. ","For the action attribute of the form, can we have it lead directly back to the home page when we press submit?",,,,,,
"Please make sure you downloaded the latest stable version of VS Code. If the problem still happens, please show me the problem during my office hours or class time. ","I had a similar error so I switched to atom and didn't have any more issues. I also found a helpful article for your problem: https://code.visualstudio.com/docs/editor/debugging
 (Links to an external site.)
 , hope this helps!","Did anyone else get the error '${workspaceFolder}' can not be resolved.Please open a folder.'- then it gives you the option to open launch,json? ",,,,,
"I had a similar error so I switched to atom and didn't have any more issues. I also found a helpful article for your problem: https://code.visualstudio.com/docs/editor/debugging
 (Links to an external site.)
 , hope this helps!","Did anyone else get the error '${workspaceFolder}' can not be resolved.Please open a folder.'- then it gives you the option to open launch,json? ",,,,,,
"You could crop the image with css, in my opinion it's a lot easier to grab the biggest size picture you can (so that way if you resize down the clarity is still there) and then use either inline css or an external css file to bring the image to the size you want. You can also just use a div and set a strict size for that so the image can get cropped as well!","I also found it useful when searching on Google Images to use the format: ""[photo you're searching for] imagesize:[length]x[height]"" to find images of the exact dimension you need",Leave this to CSS,"To crop you would have to use a div container and hide the undesired parts of the image: http://blog.cacoethes.co.uk/uncategorized/cropping-an-image-in-html
 (Links to an external site.)",The way I cropped an image using html code was just simply testing a set of widths and heights that make the image look appropriate.,"Is there a way to crop an image using html code? For example turn a rectangular image into a square. I tried just giving the images the width and height that I wanted, but that led to the images looking stretched.",,
"I also found it useful when searching on Google Images to use the format: ""[photo you're searching for] imagesize:[length]x[height]"" to find images of the exact dimension you need",Leave this to CSS,"To crop you would have to use a div container and hide the undesired parts of the image: http://blog.cacoethes.co.uk/uncategorized/cropping-an-image-in-html
 (Links to an external site.)",The way I cropped an image using html code was just simply testing a set of widths and heights that make the image look appropriate.,"Is there a way to crop an image using html code? For example turn a rectangular image into a square. I tried just giving the images the width and height that I wanted, but that led to the images looking stretched.",,,
Leave this to CSS,"To crop you would have to use a div container and hide the undesired parts of the image: http://blog.cacoethes.co.uk/uncategorized/cropping-an-image-in-html
 (Links to an external site.)",The way I cropped an image using html code was just simply testing a set of widths and heights that make the image look appropriate.,"Is there a way to crop an image using html code? For example turn a rectangular image into a square. I tried just giving the images the width and height that I wanted, but that led to the images looking stretched.",,,,
